% Aj l ls  F  D Om Me Ve Te Ma Ju Sa Ur Ne Pa    Periode      ReREN      ImREN      ReMHB      ImMHB      ReCOR      ImCOR      ReADD      ImADD     ReRET     ImRET
% Tom Herring                                                   mas               ------ IAU 2000 --
  U  1  0  2  0  2  0  0  0  0  0  0  0  0  0       9.13    12.1886     0.0000    12.4471    -0.0346     0.0000     0.0000     0.0008    -0.0019     0.000     0.000
  U -1  0 -2  0 -1  0  0  0  0  0  0  0  0  0      -9.12     0.2697     0.0000     0.2918     0.0013     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  1  0  2  0  1  0  0  0  0  0  0  0  0  0       9.12     2.2963     0.0000     2.3448    -0.0065     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  0  0 -2 -2 -2  0  0  0  0  0  0  0  0  0      -7.10     0.0509     0.0000     0.0555     0.0003     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  0  0  2  2  2  0  0  0  0  0  0  0  0  0       7.10     1.5673     0.0000     1.5895    -0.0065     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U -2  0 -2  0 -2  0  0  0  0  0  0  0  0  0      -6.86     0.0406     0.0000     0.0444     0.0003     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  2  0  2  0  2  0  0  0  0  0  0  0  0  0       6.86     1.2625     0.0000     1.2794    -0.0056     0.0000     0.0000     0.0000     0.0000     0.000     0.000

%REN: rigid earth nutation (Souchay et al. 1997).

%A = (Re + i Im) exp(i sigma t)

%sigma = somme de coefficients entiers * (freq * t + phase)

%0*l + 0*ls + 0*F + 0*D + 1*Om = 1*freq de Om + 1*phase de Om = -6962890.543100*t+125.04455501
%ici t en siecles (juliens) par rapport à J2000 (1 siecle = 36525 jours)

%Comparaison à faire : (amplitude ajustee sur la serie + amplitude IAU 2000) / amplitude REN

